,url
0,https://apartamento.mercadolibre.com.uy/MLU-465822260-apartamento-1-dormitorio-amplio-centro-_JM
1,https://apartamento.mercadolibre.com.uy/MLU-465910270-apto-2-dorm-61-m2-seguridad-24-hs-vista-al-cerro-_JM
2,https://apartamento.mercadolibre.com.uy/MLU-466052171-muy-lindo-apartamento-en-el-centro-_JM
3,https://apartamento.mercadolibre.com.uy/MLU-465950753-dueno-alquila-apartamento-de-un-dormitorio-18500-_JM
4,https://apartamento.mercadolibre.com.uy/MLU-465967407-imperdible-duplex-en-centro-de-2-dormitorios-_JM
5,https://apartamento.mercadolibre.com.uy/MLU-465944941-proximo-a-18-de-julio-y-yaguaron--_JM
6,https://apartamento.mercadolibre.com.uy/MLU-465967182-imperdible-apartamento-en-centro-de-1-dormitorio-_JM
7,https://apartamento.mercadolibre.com.uy/MLU-466659652-apartamento-alquiler-cordon-montevideo-inmobiliaria-mas-a-_JM
8,https://apartamento.mercadolibre.com.uy/MLU-466102866-gastos-comunes-bajos-con-patio-completamente-equipado-_JM
9,https://apartamento.mercadolibre.com.uy/MLU-465792186-apartamentoen-el-centro-2-dormitorios-_JM
10,https://apartamento.mercadolibre.com.uy/MLU-466527818-alquiler-de-apartamento-3-dormitorios-en-centro-_JM
11,https://apartamento.mercadolibre.com.uy/MLU-465981089-apartamento-en-zona-centrica-_JM
12,https://apartamento.mercadolibre.com.uy/MLU-466157692-alquiler-monoambiente-cordon-montevideo-inm-mas-j-_JM
13,https://apartamento.mercadolibre.com.uy/MLU-466346953-monoambiente-gto-com-imm-incluido-_JM
14,https://apartamento.mercadolibre.com.uy/MLU-466308952-excelente-apartamento-de-dos-dormitorios-en-pleno-centro-_JM
15,https://apartamento.mercadolibre.com.uy/MLU-465937709-canelones-819-esq-andes-_JM
16,https://apartamento.mercadolibre.com.uy/MLU-466651163-monoambiente-alquiler-centro-_JM
17,https://apartamento.mercadolibre.com.uy/MLU-466694042-penthouse-2-dormitorios-y-terraza-18m2-_JM
18,https://apartamento.mercadolibre.com.uy/MLU-465711885-excelente-apto-al-frente-con-terraza-bajos-gastos-comunes-_JM
19,https://apartamento.mercadolibre.com.uy/MLU-466365241-apartamento-en-alquiler-1-dormitorio-centro-_JM
20,https://apartamento.mercadolibre.com.uy/MLU-466620921-apartamento-piso-alto-_JM
21,https://apartamento.mercadolibre.com.uy/MLU-466398032-apartamento-en-excelente-estado-_JM
22,https://apartamento.mercadolibre.com.uy/MLU-465960659-apartamento-centro-montevideo-av-libertador-_JM
23,https://apartamento.mercadolibre.com.uy/MLU-466673521-planta-baja-frente-a-rbla-con-patio-impecable-bajos-gcomun-_JM
24,https://apartamento.mercadolibre.com.uy/MLU-466107547-alquiler-sin-gc-terraza-y-parrillero-individual-dueno-_JM
25,https://apartamento.mercadolibre.com.uy/MLU-466303366-impecable-apto-centrico-1-dormitorio-con-aire-acond-_JM
26,https://apartamento.mercadolibre.com.uy/MLU-465981961-proxplaza-independencia-reciclado-bajos-gastos-_JM
27,https://apartamento.mercadolibre.com.uy/MLU-465543151-ideal-estudiantes-a-mts-facultad-de-derecho-_JM
28,https://apartamento.mercadolibre.com.uy/MLU-465663652-apto-1-dormitorio-_JM
29,https://apartamento.mercadolibre.com.uy/MLU-465486615-eureka-neg-inmob-ofrece-excelente-piso-y-ubicacion-_JM
30,https://apartamento.mercadolibre.com.uy/MLU-465207227-apto-unico-en-km-cero-plaza-libertad-095084141-_JM
31,https://apartamento.mercadolibre.com.uy/MLU-465540898-apto-en-plaza-independencia-3-dorm-y-2-banos-garaje-ofic-viv-_JM
32,https://apartamento.mercadolibre.com.uy/MLU-464516603-apartamento-3-dormitorios-2-banos-garaje-centro-excelente-_JM
33,https://apartamento.mercadolibre.com.uy/MLU-465922223-proxplaza-independencia-patio-bajos-gastos-_JM
34,https://apartamento.mercadolibre.com.uy/MLU-465259824-amplio-apartamento-en-pleno-centro-_JM
